1	5243	ABCB1	ENSP00000478255	P08183	MDR1_HUMAN
2	5244	ABCB4	ENSP00000265723	P21439	MDR3_HUMAN
3	23	ABCF1	ENSP00000313603	Q8NE71	ABCF1_HUMAN
4	6868	ADAM17	ENSP00000309968	P78536	ADA17_HUMAN
5	9370	ADIPOQ	ENSP00000389814	Q15848	ADIPO_HUMAN
6	177	AGER	ENSP00000364210	Q15109	RAGE_HUMAN
7	183	AGT	ENSP00000355627	P01019	ANGT_HUMAN
8	196	AHR	ENSP00000242057	P35869	AHR_HUMAN
9	207	AKT1	ENSP00000451828	P31749	AKT1_HUMAN
10	238	ALK	ENSP00000373700	Q9UM73	ALK_HUMAN
11	81693	AMN	ENSP00000299155	Q9BXJ7	AMNLS_HUMAN
12	284	ANGPT1	ENSP00000428340	Q15389	ANGP1_HUMAN
13	10297	APC2	ENSP00000442954	O95996	APCL_HUMAN
14	324	APC	ENSP00000257430	P25054	APC_HUMAN
15	335	APOA1	ENSP00000236850	P02647	APOA1_HUMAN
16	351	APP	ENSP00000284981	P05067	A4_HUMAN
17	10095	ARPC1B	ENSP00000389631	O15143	ARC1B_HUMAN
18	41	ASIC1	ENSP00000228468	P78348	ASIC1_HUMAN
19	9311	ASIC3	ENSP00000297512	Q9UHC3	ASIC3_HUMAN
20	55054	ATG16L1	ENSP00000375872	Q676U5	A16L1_HUMAN
21	540	ATP7B	ENSP00000242839	P35670	ATP7B_HUMAN
22	623	BDKRB1	ENSP00000216629	P46663	BKRB1_HUMAN
23	624	BDKRB2	ENSP00000450482	P30411	BKRB2_HUMAN
24	627	BDNF	ENSP00000414303	P23560	BDNF_HUMAN
25	796	CALCA	ENSP00000331746	P01258	CALC_HUMAN
26	64170	CARD9	ENSP00000360797	Q9H257	CARD9_HUMAN
27	833	CARS	ENSP00000369897	P49589	SYCC_HUMAN
28	834	CASP1	ENSP00000433138	P29466	CASP1_HUMAN
29	885	CCK	ENSP00000379472	P06307	CCKN_HUMAN
30	6356	CCL11	ENSP00000302234	P51671	CCL11_HUMAN
31	6361	CCL17	ENSP00000219244	Q92583	CCL17_HUMAN
32	6363	CCL19	ENSP00000308815	Q99731	CCL19_HUMAN
33	6364	CCL20	ENSP00000351671	P78556	CCL20_HUMAN
34	6369	CCL24	ENSP00000400533	O00175	CCL24_HUMAN
35	6347	CCL2	ENSP00000225831	P13500	CCL2_HUMAN
36	6348	CCL3	ENSP00000477908	P10147	CCL3_HUMAN
37	6351	CCL4	ENSP00000482259	P13236	CCL4_HUMAN
38	6354	CCL7	ENSP00000367832	P80098	CCL7_HUMAN
39	6355	CCL8	ENSP00000378118	P80075	CCL8_HUMAN
40	1230	CCR1	ENSP00000296140	P32246	CCR1_HUMAN
41	729230	CCR2	ENSP00000292301	P41597	CCR2_HUMAN
42	10803	CCR9	ENSP00000350256	P51686	CCR9_HUMAN
43	916	CD3E	ENSP00000354566	P07766	CD3E_HUMAN
44	959	CD40LG	ENSP00000359663	P29965	CD40L_HUMAN
45	1137	CHRNA4	ENSP00000359285	P43681	ACHA4_HUMAN
46	1141	CHRNB2	ENSP00000357461	P17787	ACHB2_HUMAN
47	1153	CIRBP	ENSP00000466897	Q14011	CIRBP_HUMAN
48	54982	CLN6	ENSP00000249806	Q9NWW5	CLN6_HUMAN
49	1213	CLTC	ENSP00000479606	Q00610	CLH1_HUMAN
50	1280	COL2A1	ENSP00000369889	P02458	CO2A1_HUMAN
51	1395	CRHR2	ENSP00000340943	Q13324	CRFR2_HUMAN
52	1401	CRP	ENSP00000255030	P02741	CRP_HUMAN
53	1437	CSF2	ENSP00000296871	P04141	CSF2_HUMAN
54	1440	CSF3	ENSP00000225474	P09919	CSF3_HUMAN
55	8453	CUL2	ENSP00000444856	Q13617	CUL2_HUMAN
56	6376	CX3CL1	ENSP00000006053	P78423	X3CL1_HUMAN
57	2919	CXCL1	ENSP00000379110	P09341	GROA_HUMAN
58	2920	CXCL2	ENSP00000427279	P19875	CXCL2_HUMAN
59	6374	CXCL5	ENSP00000296027	P42830	CXCL5_HUMAN
60	3576	CXCL8	ENSP00000306512	P10145	IL8_HUMAN
61	4283	CXCL9	ENSP00000354901	Q07325	CXCL9_HUMAN
62	3579	CXCR2	ENSP00000319635	P25025	CXCR2_HUMAN
63	2833	CXCR3	ENSP00000362795	P49682	CXCR3_HUMAN
64	1670	DEFA5	ENSP00000329890	Q01523	DEF5_HUMAN
65	11221	DUSP10	ENSP00000355866	Q9Y6W6	DUS10_HUMAN
66	1906	EDN1	ENSP00000368683	P05305	EDN1_HUMAN
67	1947	EFNB1	ENSP00000204961	P98172	EFNB1_HUMAN
68	1956	EGFR	ENSP00000275493	P00533	EGFR_HUMAN
69	1958	EGR1	ENSP00000239938	P18146	EGR1_HUMAN
70	1978	EIF4EBP1	ENSP00000340691	Q13541	4EBP1_HUMAN
71	2056	EPO	ENSP00000252723	P01588	EPO_HUMAN
72	2149	F2R	ENSP00000321326	P25116	PAR1_HUMAN
73	2150	F2RL1	ENSP00000296677	P55085	PAR2_HUMAN
74	2247	FGF2	ENSP00000264498	P09038	FGF2_HUMAN
75	51083	GAL	ENSP00000265643	P22466	GALA_HUMAN
76	2588	GALNS	ENSP00000268695	P34059	GALNS_HUMAN
77	2625	GATA3	ENSP00000368632	P23771	GATA3_HUMAN
78	3146	HMGB1	ENSP00000345347	P09429	HMGB1_HUMAN
79	3162	HMOX1	ENSP00000216117	P09601	HMOX1_HUMAN
80	3265	HRAS	ENSP00000407586	P01112	RASH_HUMAN
81	3383	ICAM1	ENSP00000264832	P05362	ICAM1_HUMAN
82	3620	IDO1	ENSP00000430950	P14902	I23O1_HUMAN
83	3458	IFNG	ENSP00000229135	P01579	IFNG_HUMAN
84	282617	IFNL3	ENSP00000409000	Q8IZI9	IFNL3_HUMAN
85	3586	IL10	ENSP00000412237	P22301	IL10_HUMAN
86	3587	IL10RA	ENSP00000227752	Q13651	I10R1_HUMAN
87	3588	IL10RB	ENSP00000290200	Q08334	I10R2_HUMAN
88	3596	IL13	ENSP00000304915	P35225	IL13_HUMAN
89	3605	IL17A	ENSP00000344192	Q16552	IL17_HUMAN
90	3606	IL18	ENSP00000280357	Q14116	IL18_HUMAN
91	8807	IL18RAP	ENSP00000264260	O95256	I18RA_HUMAN
92	3552	IL1A	ENSP00000263339	P01583	IL1A_HUMAN
93	3553	IL1B	ENSP00000263341	P01584	IL1B_HUMAN
94	3554	IL1R1	ENSP00000386380	P14778	IL1R1_HUMAN
95	7850	IL1R2	ENSP00000330959	P27930	IL1R2_HUMAN
96	3557	IL1RN	ENSP00000259206	P18510	IL1RA_HUMAN
97	149233	IL23R	ENSP00000321345	Q5VWK5	IL23R_HUMAN
98	3560	IL2RB	ENSP00000216223	P14784	IL2RB_HUMAN
99	90865	IL33	ENSP00000370842	O95760	IL33_HUMAN
100	3565	IL4	ENSP00000231449	P05112	IL4_HUMAN
101	3568	IL5RA	ENSP00000412209	Q01344	IL5RA_HUMAN
102	3569	IL6	ENSP00000385675	P05231	IL6_HUMAN
103	3572	IL6ST	ENSP00000370698	P40189	IL6RB_HUMAN
